location_id,state,Population,Urban Population,Rural Population,Single Female-Headed Households with Children,Unemployment Rate,Non-Citizens,Below Poverty Line,White Population,African American Population,Native American/Alaskan Population,Asian or Pacific Islander Population,Other Race Population,Hispanic or Latino Population,Median Household Income,Average Commute Minutes,Number of Criminal Court Judges,"Police Officers per 100,000 Residents",Law Enforcement Agencies Reporting to UCR,Total Number of Law Enforcement Agencies,Number of Full-Time Prosecutors,Number of Full-Time Sworn Law Enforcement Officers,Residential Mobility,Young Males Population,Largest Municipality Population,Number of Part-Time Prosecutors,High School Graduates,Largest Municipality,Self-Represented conviction rate,Private conviction rate,Public Defender conviction rate,Court Appointed conviction rate,Other conviction rate,Unknown conviction rate
OR061,OR,25741,57.9035,42.0965,5.7743,9.3,2.6611,18.6,90.2801,0.5439,0.3807,0.9751,3.7,4.1218,42542,16.2,NA,NA,NA,NA,NA,NA,18,7.68,NA,NA,90.6,NA,50,62.4294,100,80.8592,NA,58.1262
OR063,OR,6924,0,100,6.9092,12.2,0.5055,13.4,94.223,0.4333,0.5199,0.1155,2.27,2.4408,41994,18.9,NA,NA,NA,NA,NA,NA,13.7,4.29,NA,NA,93.5,NA,NA,51.5152,100,65.2695,NA,51.2397
OR065,OR,25281,66.9337,33.0663,6.9913,10.8,7.563,18.2,76.9511,0.3876,4.2245,0.981,1.88,15.573,43765,16.1,NA,NA,NA,NA,NA,NA,15.9,6.3,NA,NA,85.1,NA,100,66.4706,92.0635,77.9633,NA,57.6419
OR067,OR,539608,94.41,5.59,6.0826,9.6,9.8703,11.4,69.2556,1.6929,0.4435,8.8006,3.98,15.8272,64180,24.2,NA,NA,NA,NA,NA,NA,17.3,6.26,NA,NA,90.8,NA,84.3137,64.4864,85.1852,85.8216,NA,48.4364
OR069,OR,1292,0,100,2.72,10.4,0.2322,15.6,94.2724,0,0.4644,0.1548,2.48,2.6316,37974,22.4,NA,NA,NA,NA,NA,NA,10.1,4.64,NA,NA,88.6,NA,NA,45,NA,64.4068,NA,40
OR071,OR,99802,77.3966,22.6034,6.2423,10.7,5.539,14.6,78.9213,0.8256,0.8958,1.3908,3.05,14.9195,54535,23.4,NA,NA,NA,NA,NA,NA,16.1,7.46,NA,NA,88,NA,100,68.0243,100,83.1658,NA,24.2762
FL001,FL,249848,78.8066,21.1934,6.4221,8.6,5.8516,24.9,63.2921,19.732,0.2229,5.4689,2.69,8.5976,42149,19.9,NA,246.5499,50,4,NA,616,25.9,12.49,127488,NA,91.2,Gainesville,36.6335,49.9428,79.4498,76.6654,NA,NA
FL003,FL,27069,40.5089,59.4911,7.5097,11.4,0.3879,17.3,82.2786,13.9126,0.1847,0.5394,0.92,2.1648,49236,29.4,NA,221.6558,100,1,NA,60,14.8,8.06,6413,NA,80.1,Macclenny,42.5,76.1905,77.2051,76.0274,63.9594,NA
FL005,FL,170704,88.0001,11.9999,6.4519,9.9,2.2905,14.7,78.8124,10.0982,0.5255,2.0263,3.51,5.0227,47461,21.3,NA,241.9393,57.14,7,NA,413,20.4,6.75,36484,NA,87,Panama City,NA,NA,NA,NA,NA,NA
FL007,FL,27981,24.4705,75.5295,6.1985,15.7,1.1079,18.2,73.9538,19.5168,0.2502,0.679,1.94,3.6632,40259,27.1,NA,178.6927,0,3,NA,50,12.8,6.77,5449,NA,75.5,Starke,44.4265,66.5615,83.7521,72.6667,61.2069,NA
FL009,FL,545667,94.9256,5.0744,5.938,12.4,3.2243,13.5,77.023,9.7574,0.2861,2.0549,2.42,8.4612,48039,23.7,NA,224.3126,60,15,NA,1224,14.6,6.2,104898,NA,90.2,Palm Bay,68.7013,80.1527,86.1066,87.1445,NA,86.1879
FL011,FL,1784889,99.9831,0.0169,8.4688,11.9,14.4275,14.3,42.4266,26.2602,0.1597,3.2624,2.04,25.8499,51251,27.2,NA,218.1648,100,19,NA,3894,16.7,6.39,172389,NA,87.8,Fort Lauderdale,81.8182,66.4795,73.7222,69.4519,61.3096,96.6344
FL013,FL,14700,32.4855,67.5145,7.2189,10.2,1.932,23.5,77.517,14.2041,1.6054,0.2857,1.05,5.3401,32780,28.8,NA,163.2653,0,3,NA,24,12.5,6.34,2538,NA,73.5,Blountstown,72.6944,76.1364,85.1852,86.5169,100,NA
FL015,FL,161276,91.1157,8.8843,3.9521,13.7,3.951,12.6,85.482,5.454,0.16,1.1521,1.63,6.1193,44378,23.3,NA,166.7948,100,2,NA,269,15.9,4.53,16641,NA,88.8,Punta Gorda,100,71.0377,78.4279,78.6127,66.6667,70.8563
FL017,FL,140214,65.4812,34.5188,3.9374,15.8,1.5683,16.8,89.3263,2.8792,0.368,1.5198,1.12,4.7855,39100,25.9,NA,154.7634,33.33,3,NA,217,12,4.67,7194,NA,86,Inverness,74.4459,76.1905,80.8463,NA,NA,80.8447
FL019,FL,192665,85.0313,14.9687,7.4095,11.3,2.5075,9.8,76.3631,9.8243,0.3327,2.9191,2.44,8.1193,59482,32.1,NA,155.1917,33.33,3,NA,299,14.7,7.04,2538,NA,90.2,Blountstown,93.3333,69.5536,82.2793,89.4667,71.545,94.1911
FL021,FL,328209,91.5141,8.4859000000000009,4.9483,10.1,14.5864,14.1,65.2971,6.4608,0.1819,1.2434,0.8,26.02,55843,23.6,NA,206.8804,100,3,NA,679,15.2,5.46,19537,NA,85.8,Naples,60.3227,67.2491,82.8104,NA,NA,74.575
FL023,FL,67568,37.9426,62.0574,7.4013,18.8,1.5377,19.8,74.1238,17.4565,0.4425,0.743,2.15,5.0838,38070,22.3,NA,187.9588,100,2,NA,127,21.2,7.88,12107,NA,82.6,Lake City,49.9833,75.1269,89.3562,87.2,NA,NA
FL027,FL,34651,53.7577,46.2423,9.2261,12.6,14.4787,29.6,55.8397,12.8366,0.176,0.557,0.62,29.9703,34963,24.6,NA,210.6721,50,2,NA,73,18.1,9.51,7626,NA,71.3,Arcadia,NA,NA,NA,NA,NA,NA
FL029,FL,16234,22.9753,77.0247,4.0457,9,1.6385,17.4,86.0601,8.4514,0.2834,0.8747,1.94,2.39,33981,25.7,NA,166.3176,0,2,NA,27,13,5.9,1701,NA,78.5,Cross City,78.3951,84.4444,94.5876,100,90,NA
FL031,FL,872598,97.0885,2.9115,8.8514,11.7,4.5964,16.9,56.1493,28.8844,0.2592,4.1606,2.68,7.8669,48323,23.6,NA,201.3527,42.86,7,NA,1757,18.5,7.15,842583,NA,87.9,Jacksonville,NA,NA,NA,NA,NA,NA
FL033,FL,300795,91.6978,8.3022,7.477,12,2.6071,18.1,66.0177,21.9059,0.4907,2.7348,3.91,4.9389,43918,22.2,NA,226.7325,100,2,NA,682,19.1,8.89,51923,NA,87.9,Pensacola,64.0957,72.4362,74.9699,71.0988,80,NA
FL035,FL,97301,89.6788,10.3212,5.3749,12.4,4.1644,16.6,75.7628,10.8735,0.0802,2.2127,2.05,9.0184,47233,26.4,NA,170.6046,33.33,3,NA,166,11.7,5.09,78740,NA,90.2,Palm Coast,NA,NA,NA,NA,NA,NA
FL037,FL,11554,31.9595,68.0405,5.6125,12,1.8608,20.6,79.0549,14.7568,0.1731,0.5193,0.8,4.691,38328,22.3,NA,432.7506,0,3,NA,50,19.9,6.48,2788,NA,79.3,Carrabelle,70.9109,76.0181,92.8707,85.4839,NA,NA
FL039,FL,46860,34.6203,65.3797,10.3349,14.1,4.315,26.5,33.2864,55.0384,0.1024,0.446,1.21,9.9189,35380,28,NA,228.3397,14.29,7,NA,107,10.7,6.23,7965,NA,77.2,Quincy,90.4124,68.5535,76.4948,77.4419,81.8182,0
FL041,FL,16917,16.0812,83.9188,4.1667,16.5,2.3645,24.1,87.616,5.592,0.2364,0.4965,1.1,4.9595,38406,31.3,NA,200.9813,0,2,NA,34,15,11.65,1717,NA,79.8,Trenton,13.9442,62.3762,60.0522,68.4211,100,NA
FL043,FL,13080,29.362,70.638,6.6094,15.8,10.344,24.5,61.2003,12.2324,4.3043,0.5428,0.42,21.2997,34694,24.5,NA,733.945,0,1,NA,96,12.5,6.27,1680,NA,78,Moore Haven,66.1504,60.3175,73.7179,70.5882,NA,NA
FL045,FL,15793,22.915,77.085,5.7628,11.9,1.7286,16.4,74.3051,18.3626,0.7028,0.9118,1.24,4.4767,40455,24.4,NA,430.5705,0,2,NA,68,15,6.97,3435,NA,79.5,Port St. Joe,75.985,71.4286,84.9673,86.2745,NA,NA
FL047,FL,14655,36.516,63.484,6.8284,16.3,2.5725,23.6,54.9642,34.8345,0.2593,0.1433,0.85,8.9526,37716,24.2,NA,204.7083,0,3,NA,30,17.1,12.69,4221,NA,75.1,Jasper,80.5839,83.7607,86.7746,89.6296,NA,NA
FL049,FL,27336,52.1907,47.8093,9.8754,13.9,17.0069,29.6,47.86,7.1554,0.1097,1.167,0.84,42.8702,37125,25.6,NA,248.7562,0,5,NA,68,13.6,7.96,4952,NA,64.2,Wauchula,46.6797,69.6793,80.4854,90.4762,89.0909,NA
FL051,FL,38346,62.1078,37.8922,10.8438,15.4,17.5638,26.7,34.5721,12.3924,1.4526,0.8189,1.3,49.4602,35425,27.5,NA,229.4894,50,2,NA,88,16.7,8.36,7143,NA,64.4,Clewiston,78.0207,73.1417,78.9253,65.5914,NA,NA
FL053,FL,173119,80.6248,19.3752,5.8496,17.2,2.433,15.4,81.5208,4.9602,0.1687,1.0213,1.69,10.6378,41024,30,NA,188.8874,50,2,NA,327,14.7,5.3,7711,NA,86.5,Brooksville,55.3939,73.0078,86.8701,85.3521,71.8822,NA
FL055,FL,98275,78.9343,21.0657,4.2348,15.2,6.5022,20.1,70.0901,9.1824,0.2544,1.332,1.46,17.6861,35560,21.9,NA,227.9318,50,4,NA,224,15.6,5.2,10491,NA,81,Sebring,75.854,67.6471,74.7421,69.0141,49.2754,NA
FL057,FL,1257913,96.4871,3.5129,8.2408,11,8.3165,16.8,53.0696,15.7636,0.1459,3.4453,2.32,25.2544,49596,25.7,NA,181.6501,66.67,6,NA,2285,18.3,7.12,352957,NA,86.8,Tampa,63.2705,75.2129,82.7867,NA,NA,84.2824
FL059,FL,19864,21.2275,78.7725,5.1998,11.1,1.2485,23.8,88.1192,5.447,0.2517,0.594,3.08,2.5121000000000002,35511,29.7,NA,130.8901,0,2,NA,26,12.4,7.51,2772,NA,75.5,Bonifay,77.4744,94.051,96.0993,86.5079,91.7031,NA
FL061,FL,139356,95.0322,4.9678,5.5688,14.7,5.5362,15.1,77.0925,8.8213,0.1894,1.1668,1.34,11.3859,44772,21.8,NA,292.7753,60,5,NA,408,15.7,5.57,22699,NA,87,Sebastian,86.0803,86.4882,88.2192,85.5556,NA,96.8
FL063,FL,49326,24.6372,75.3628,7.0426,12.9,1.8124,19.9,66.0727,26.1404,0.3832,0.5008,2.46,4.448,36809,24,NA,190.5689,20,5,NA,94,13.9,7.03,9320,NA,78,Marianna,59.2885,78.7013,89.6279,83.871,NA,NA
FL065,FL,14469,0,100,6.0595,14.9,0.9123,17.2,57.3778,36.3951,0.2281,0,2.11,3.8842,44170,26.9,NA,228.0738,0,2,NA,33,9.9,5.78,2572,NA,81.2,Monticello,55.144,85.0242,93.1398,89.3204,NA,NA
FL067,FL,8745,0,100,4.9446,11.2,7.57,20.2,72.7959,14.8428,0,0.0686,0.51,11.7782,39722,24.3,NA,125.7862,0,1,NA,11,14.9,9.63,1255,NA,78.4,Mayo,50.8197,70,82.8244,76.6234,0,NA
FL069,FL,300926,80.7461,19.2539,5.2921,12,3.4906,13.8,73.1951,9.4748,0.3632,1.8071,2.55,12.6124,45035,27.7,NA,202.3753,53.85,13,NA,609,14.9,5.27,30033,NA,86.4,Clermont,70.8343,66.4382,86.0769,86.875,NA,NA
FL071,FL,633968,94.1798,5.8202,5.9972,13.5,9.0281,15.4,70.4283,8.005,0.1868,1.4723,1.29,18.6172,47439,26.9,NA,153.951,75,4,NA,976,19.1,5.53,165831,NA,86.9,Cape Coral,82.8904,49.285,57.0265,63.1115,4.6771,62.5595
FL073,FL,278624,87.6905,12.3095,7.5405,11.2,3.4879,23.2,58.5894,30.2788,0.3047,3.0159,2,5.8132,46369,19.9,NA,211.396,100,2,NA,589,27.3,12.41,181376,NA,91.8,Tallahassee,NA,80.3101,88.7687,NA,75.7143,100
FL075,FL,40289,7.9508,92.0492,6.4562,14.8,1.8591,23.7,80.6051,9.4219,0.2755,0.5386,1.59,7.5728,34348,28.1,NA,235.7964,25,4,NA,95,16.7,6.19,2768,NA,81.1,Williston,65.3421,50.4587,70.9365,NA,NA,40
FL077,FL,8308,0,100,6.8547,20.6,2.4194,24.1,71.1363,17.1762,1.2277,0.7102,2.73,7.0173,39681,28.7,NA,180.5489,0,1,NA,15,20.5,13,987,NA,75.6,Bristol,60.9626,91.5493,92.1101,84.8485,87.5,NA
FL079,FL,19070,19.9906,80.0094,8.2802,14.2,2.7583,22.5,54.688,37.8553,0.1835,0.2202,2.2,4.8558,33833,27.5,NA,277.9234,0,2,NA,53,11.9,6.6,2961,NA,78.2,Madison,61.8003,54.9407,71.6364,59.375,0,NA
FL081,FL,329487,94.2097,5.7903,5.4087,11.3,7.6492000000000004,15.1,73.0536,8.6765,0.1918,1.7108,1.38,14.9894,47876,23.9,NA,222.1635,80,5,NA,732,17.4,5.41,51763,NA,87.4,Bradenton,75.228,82.3466,91.9759,90.6667,84.375,NA
FL083,FL,333503,68.9717,31.0283,6.3499,13.8,3.2159,18.1,73.4263,12.2272,0.3103,1.3694,1.46,11.2092,39453,24.8,NA,191.0028,50,4,NA,637,15.5,5.45,53491,NA,85,Ocala,78.67,78.4885,86.7067,81.6735,81.25,99.1171
FL085,FL,147786,91.5233,8.4767,4.0156,12.8,5.8043,13,79.7586,5.2231,0.1651,0.9581,1.42,12.4721,49846,24.4,NA,213.146,50,4,NA,315,14.3,5.21,16078,NA,88.8,Stuart,64.6529,85.5518,87.7347,86.8098,97.0149,NA
FL086,FL,2549075,99.5956,0.4044,8.9627,11.8,24.6528,19.9,15.5649,17.1193,0.0893,1.5097,0.85,64.8624,43100,29,NA,247.8546,60.61,33,NA,6318,13.1,6.91,408568,NA,78.8,Miami,NA,NA,70.0423,NA,46.2372,NA
FL087,FL,74213,91.2861,8.7139,3.7926,7.5,9.2922,13.5,70.295,6.2644,0.1765,1.0685,1.12,21.0731,53607,18.8,NA,398.852,50,4,NA,296,16,5.78,25550,NA,89.9,Key West,55.5556,77.4599,79.9765,85.1613,68.6254,89.0889
FL089,FL,74163,51.8537,48.1463,4.7639,10.1,0.9142,12.6,87.3454,6.4534,0.4072,0.8711,1.43,3.491,55315,29,NA,229.2248,100,2,NA,170,13.2,6,11592,NA,89.4,Fernandina Beach,NA,NA,NA,NA,NA,NA
FL091,FL,185852,87.9008,12.0992,7.3471,8.8,2.8716,13.4,76.2741,8.7494,0.5402,3.0605,3.93,7.4462,54684,22.9,NA,206.078,66.67,6,NA,383,19.1,7.82,22785,NA,90.9,Crestview,89.2523,35.2941,100,75,NA,84.5947
FL093,FL,39642,63.4513,36.5487,9.0084,15.9,9.0863,26.9,64.8302,8.8366,0.5323,0.3986,1.17,24.2319,34570,25.3,NA,247.2126,50,2,NA,98,11.2,7.43,5621,NA,67.8,Okeechobee,53.6661,81.1392,80.1086,60.339,NA,NA
FL095,FL,1175416,97.9579,2.0421,8.5259,11.4,9.8708,17,45.0696,19.6791,0.164,4.9151,2.55,27.6188,47581,26.3,NA,211.0742,58.33,12,NA,2481,20.6,8.28,255483,NA,87.2,Orlando,42.8571,48.5832,52.1996,59.6899,34.0073,75.0861
FL097,FL,279837,92.1789,7.8211,10.1954,12.8,10.162,17.9,38.9023,9.3269,0.1522,2.5686,2.21,46.8366,43891,30.6,NA,211.5517,100,3,NA,592,14.6,7.67,65173,NA,83.8,Kissimmee,NA,NA,NA,NA,NA,NA
FL099,FL,1339221,98.9575,1.0425,6.5805,11.8,11.9686,14.5,59.2314,17.0303,0.1116,2.3512,1.77,19.5098,52432,24.5,NA,213.1836,76.19,21,NA,2855,15,6.07,102436,NA,87.5,West Palm Beach,64.9839,56.6804,70.4329,71.4286,NA,81.8021
FL101,FL,468194,90.5336,9.4664,5.4979,12.1,3.8053,13.9,79.211,4.2809,0.2817,2.1754,1.83,12.2201,43888,30,NA,142.8895,60,5,NA,669,13.1,5.49,14911,NA,87.2,New Port Richey,82.9441,76.6358,90.59,91.8334,NA,100
FL103,FL,920015,99.716,0.284,5.7313,10.5,5.0949,14.1,76.4243,10.1193,0.222,3.0555,1.94,8.2413,45535,23.4,NA,209.4531,50,14,NA,1927,15.6,5.36,249688,NA,88.9,St. Petersburg,76.7638,79.4926,91.6936,95.3177,90.7434,97.3261
FL105,FL,610295,86.4895,13.5105,7.5358,12.6,6.3417,18.2,63.8283,14.4124,0.2392,1.6199,1.72,18.1827,43113,25.8,NA,166.313,46.67,15,NA,1015,16.3,6.57,100710,NA,82.4,Lakeland,66.6667,79.6568,84.6715,87.2727,63.8279,94.3548
FL107,FL,73683,43.8371,56.1629,7.3448,14.1,3.2776,26.4,72.2908,16.0444,0.3447,0.6067,1.5,9.2152,32497,28.1,NA,207.6463,33.33,6,NA,153,11.8,6.26,10558,NA,77.5,Palatka,61.1957,70.9845,81.1285,74.5308,100,NA
FL109,FL,197115,76.2265,23.7735,5.29,7.8,2.1845,9.6,84.9387,5.1016,0.1557,2.1272,2.17,5.5044,64876,25.7,NA,165.3857,66.67,3,NA,326,16.7,6.27,13679,NA,93.2,St. Augustine,65.7962,56.5334,82.7559,85.0633,40,65.0458
FL111,FL,281015,96.6428,3.3572,7.6824,15,7.2704,18.4,60.68,18.6332,0.2053,1.5561,2.11,16.8158,43413,28.3,NA,204.6154,66.67,3,NA,575,16.6,5.96,171016,NA,85.2,Port St. Lucie,NA,NA,NA,NA,NA,NA
FL113,FL,155579,79.0106,20.9894,6.345,11,2.0761,12.3,83.9676,5.2873,0.5534,1.9386,3.58,4.669,57703,27.1,NA,134.33690000000001,33.33,3,NA,209,18.7,6.76,8826,NA,89.4,Milton,51.9906,70.5882,85.6424,83.9542,69.6203,NA
FL115,FL,383094,95.6795,4.3205,4.4625,11.4,5.6459,12.2,84.2811,4.3326,0.218,1.4064,1.58,8.1815,49052,21.9,NA,177.5021,66.67,6,NA,680,15.2,4.59,57357,NA,91.9,North Port,67.3513,71.0712,87.3304,82.5397,86.2745,100
FL117,FL,427184,96.8423,3.1577,7.0278,10.7,4.9763,11.3,65.565,10.6558,0.165,3.8662,1.99,17.7619,58175,26.3,NA,205.7661,100,9,NA,879,13.1,7.31,56002,NA,91.8,Sanford,NA,NA,NA,NA,NA,NA
FL119,FL,98409,65.0353,34.9647,2.1744,13.2,2.6237,12,83.2515,8.988,0.2307,0.7804,0.85,5.9019,48493,24.6,NA,173.7646,20,5,NA,171,14.8,3.02,4791,NA,87.8,Wildwood,72.1976,73.3654,83.2386,78.8177,66.6667,NA
FL121,FL,42865,16.8323,83.1677,7.332,11.7,3.9893,23.6,76.0667,12.0261,0.2146,0.3033,2.57,8.8184,35698,26,NA,146.9731,50,2,NA,63,14.8,7.3,6974,NA,79.8,Live Oak,65.4469,63.3678,86.0492,80.531,73.2673,NA
FL123,FL,22660,30.7178,69.2822,6.9082,13.2,1.2312,16.7,72.7538,20.9929,0.7282,0.2515,1.61,3.6673,36356,21.1,NA,255.9576,0,2,NA,58,13.2,6.71,7060,NA,76.5,Perry,69.537,81.0547,90.5218,91.2162,NA,NA
FL125,FL,15307,32.5523,67.4477,9.7715,9.6,2.0318,19.6,70.9871,20.4351,0.7252,0.9407,1.84,5.0761,42660,22.9,NA,84.9285,0,1,NA,13,16.1,8.85,1850,NA,73.9,Lake Butler,49.6038,55,65.8915,61.6438,NA,NA
FL127,FL,496268,90.0567,9.9433,5.8553,11.2,3.0852,16.8,74.7634,10.1993,0.2319,1.6086,1.7,11.5016,42457,25.4,NA,214.8033,66.67,15,NA,1066,14.5,6.47,86290,NA,87.6,Deltona,NA,60.4447,82.4038,90.3888,46.0731,80.723
FL129,FL,30824,38.3221,61.6779,9.1918,10.5,0.97,14.4,79.4251,14.8261,0.425,0.4055,1.51,3.4097,52691,30.4,NA,184.9208,100,1,NA,57,19.8,6.03,457,NA,87.7,Sopchoppy,68.6025,88.4514,92.5743,95.1673,90.7407,NA
FL131,FL,56590,36.8748,63.1252,5.9499,9.9,2.3714,17.9,84.522,5.3296,0.8482,1.0797,2.61,5.6141,43640,25.5,NA,321.6116,50,2,NA,182,16.5,5.74,5584,NA,84.5,DeFuniak Springs,71.4325,67.6396,87.0237,87.0488,100,NA
FL133,FL,24702,15.4483,84.5517,5.4846,13.5,1.093,20.1,77.9653,14.5332,0.6032,0.2429,3.48,3.1738,38501,28.1,NA,267.1848,0,2,NA,66,13.6,6.88,3574,NA,80.3,Chipley,91.6963,78.9062,89.6146,90.8602,NA,NA
