id,stage,group,question,answer,citations
STS.f,SENTENCING_AND_CORRECTIONS,Sentencing Systems,Amount of time that an individual must serve prior to becoming eligible for release:,Individuals are eligible for release after completing the minimum term of incarceration,Pennsylvania Consolidated Statutes. 6137. Parole power. [61 Pa. Cons. Stat. § 6137(a)(3) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-61/chapter-61/section-6137/). Archived [here](https://perma.cc/6JNP-KD69).
STO.b,SENTENCING_AND_CORRECTIONS,Sentencing Options,Are there any circumstances in which a sentence of probation is required?,Yes; state law provides a list of 12 criteria that courts must use when deciding between a sentence of probation or incarceration,Pennsylvania Consolidated Statutes. 9722. Order of probation. [42 Pa. Cons. Stat. § 9722 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9722/). Archived [here](https://perma.cc/R5DU-PNKP).
STO.c1,SENTENCING_AND_CORRECTIONS,Sentencing Options,Legal status of marijuana:,Possession of marijuana is illegal,"Act 64 of 1972. ‚ÄúThe Controlled Substances, Drugs, Device, and Cosmetic Act‚Äù. [P.L. 233 No. 64, §13(a)(31)](http://www.health.state.pa.us/pdf/ddc/ddcAct.pdf). Archived [here](https://perma.cc/7SUJ-S7QN)."
STO.c2,SENTENCING_AND_CORRECTIONS,Sentencing Options,Alternative penalties for possessing small amounts of marijuana:,NA,
STO.d1,SENTENCING_AND_CORRECTIONS,Sentencing Options,Post-conviction diversionary programs authorized by state law:,Substance abuse treatment,"Pennsylvania Consolidated Statutes. 9763. Sentence of county intermediate punishment. [42 Pa. Cons. Stat. § 9763(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9763/). Archived [here](https://perma.cc/6DPX-7ML2).
Pennsylvania Consolidated Statutes. 4105. Bad checks. [61 Pa. Cons. Stat. § 4105 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-61/chapter-41/section-4105/). Archived [here](https://perma.cc/Y9K8-DJWM)."
STO.d1,SENTENCING_AND_CORRECTIONS,Sentencing Options,Post-conviction diversionary programs authorized by state law:,Educational or vocational programs,Pennsylvania Consolidated Statutes. 9763. Sentence of county intermediate punishment. [42 Pa. Cons. Stat. § 9763(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9763/). Archived [here](https://perma.cc/6DPX-7ML2).
STO.d1,SENTENCING_AND_CORRECTIONS,Sentencing Options,Post-conviction diversionary programs authorized by state law:,Mental health treatment,Pennsylvania Consolidated Statutes. 9763. Sentence of county intermediate punishment. [42 Pa. Cons. Stat. § 9763(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9763/). Archived [here](https://perma.cc/6DPX-7ML2).
STO.d1,SENTENCING_AND_CORRECTIONS,Sentencing Options,Post-conviction diversionary programs authorized by state law:,Family counseling,Pennsylvania Consolidated Statutes. 9763. Sentence of county intermediate punishment. [42 Pa. Cons. Stat. § 9763(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9763/). Archived [here](https://perma.cc/6DPX-7ML2).
STO.d2,SENTENCING_AND_CORRECTIONS,Sentencing Options,Individuals eligible for a post-conviction diversionary program:,"Individuals with a history of non-violence, who are convicted of a drug-related offense, and who have a drug or alcohol addiction are eligible for the drug offender treatment program","Pennsylvania Consolidated Statutes. 4103. Definitions. [61 Pa. Cons. Stat. § 4103 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-61/chapter-41/section-4103/). Archived [here](https://perma.cc/4EVV-STSH).
Pennsylvania Consolidated Statutes. 9721. Sentencing generally. [42 Pa. Cons. Stat. § 9721(a.1)(1),(2) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9721/). Archived [here](https://perma.cc/YFP6-EESA)."
STO.d2,SENTENCING_AND_CORRECTIONS,Sentencing Options,Individuals eligible for a post-conviction diversionary program:,Individuals convicted of any offense that does not carry a mandatory minimum sentence are eligible for any of the available diversionary programs,"Pennsylvania Consolidated Statutes. 4103. Definitions. [61 Pa. Cons. Stat. § 4103 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-61/chapter-41/section-4103/). Archived [here](https://perma.cc/4EVV-STSH).
Pennsylvania Consolidated Statutes. 9721. Sentencing generally. [42 Pa. Cons. Stat. § 9721(a.1)(1),(2) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9721/). Archived [here](https://perma.cc/YFP6-EESA)."
STO.p1,SENTENCING_AND_CORRECTIONS,Sentencing Options,Is the death penalty allowed by state law?,"Yes, but it is restricted by a statewide moratorium effective as of 2015","Death Penalty Information Center. Press Release. ""Pennsylvania Governor Announces Moratorium on Executions"". [Death Penalty Information Center](http://www.deathpenaltyinfo.org/node/6054). Archived [here](https://perma.cc/G34P-BMLW)."
STO.p2,SENTENCING_AND_CORRECTIONS,Sentencing Options,Offenses eligible for the death penalty:,1st degree murder,Pennsylvania Consolidated Statutes. 9711. Sentencing procedure for murder of the first degree. [42 Pa. Cons. Stat. § 9711(a)(1) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9711/). Archived [here](https://perma.cc/VBL3-GTG8).
STO.w,SENTENCING_AND_CORRECTIONS,Sentencing Options,Offenses eligible for a sentence of life without parole:,First degree murder,Pennsylvania Consolidated Statutes. 9711. Sentencing procedure for murder of the first degree. [42 Pa. Cons. Stat. § 9711(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9711/). Archived [here](https://perma.cc/4Y7L-SVER).
STO.w,SENTENCING_AND_CORRECTIONS,Sentencing Options,Offenses eligible for a sentence of life without parole:,"Three or more convictions of violent offenses, including 3rd degree murder, voluntary manslaughter, aggravated assault, and other offenses","Pennsylvania Consolidated Statutes. 9714. Sentences for second and subsequent offenses. [42 Pa. Cons. Stat. § 9714(a)(2), (g) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9714/). Archived [here](https://perma.cc/8EP8-GGV2)."
STO.w,SENTENCING_AND_CORRECTIONS,Sentencing Options,Offenses eligible for a sentence of life without parole:,"Three or more convictions of sex offenses, including sexual abuse of a child, indecent assault, invasion of privacy, and other offenses","Pennsylvania Consolidated Statutes. 9718.2. Sentences for sexual offenders. [42 Pa. Cons. Stat. § 9718.2(a)(2) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9718.2/). Archived [here](https://perma.cc/CYC8-XZ2Q).
Pennsylvania Consolidated Statutes. 9799.14. Sexual offenses and tier system. [42 Pa. Cons. Stat. § 9799.14 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9799.14/). Archived [here](https://perma.cc/LG6E-4M92)."
STO.w,SENTENCING_AND_CORRECTIONS,Sentencing Options,Offenses eligible for a sentence of life without parole:,A conviction of murder or voluntary manslaughter when the individual has a previous murder conviction,Pennsylvania Consolidated Statutes. 9715. Life imprisonment for homicide. [42 Pa. Cons. Stat. § 9715(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9715/). Archived [here](https://perma.cc/A5X4-DNUQ).
STO.w,SENTENCING_AND_CORRECTIONS,Sentencing Options,Offenses eligible for a sentence of life without parole:,Human trafficking under certain circumstances,Pennsylvania Consolidated Statutes. 9720. Sentencing for criminal mischief. [42 Pa. Cons. Stat. § 9720.2 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9720.2/). Archived [here](https://perma.cc/AJ49-FYCB).
RLP.c,SENTENCING_AND_CORRECTIONS,Release Policies,"Can sentence credits (e.g., earned or good time) be applied to prison or probation terms?",Yes,Pennsylvania Consolidated Statutes. 4505. Sentencing. [61 Pa. Cons. Stat. § 4505(c) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-61/chapter-45/section-4505/). Archived [here](https://perma.cc/KW5P-RYFB).
RLP.p,SENTENCING_AND_CORRECTIONS,Release Policies,Requirements for parole eligibility:,Completion of the minimum term of incarceration,"Pennsylvania Consolidated Statutes. 6137. Parole power. [61 Pa. Cons. Stat. § 6137(1),(3) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-61/chapter-61/section-6137/). Archived [here](https://perma.cc/VQ5Q-DKGQ)."
RLP.p,SENTENCING_AND_CORRECTIONS,Release Policies,Requirements for parole eligibility:,The best interest of the individual justifies parole,"Pennsylvania Consolidated Statutes. 6137. Parole power. [61 Pa. Cons. Stat. § 6137(1),(3) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-61/chapter-61/section-6137/). Archived [here](https://perma.cc/VQ5Q-DKGQ)."
RLP.p,SENTENCING_AND_CORRECTIONS,Release Policies,Requirements for parole eligibility:,The interests of the state will not be injured if the individual is paroled,"Pennsylvania Consolidated Statutes. 6137. Parole power. [61 Pa. Cons. Stat. § 6137(1),(3) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-61/chapter-61/section-6137/). Archived [here](https://perma.cc/VQ5Q-DKGQ)."
PRB.v,SENTENCING_AND_CORRECTIONS,Probation,How are technical violations of probation defined by state law?,Information not located in statutes,
PRB.j1,SENTENCING_AND_CORRECTIONS,Probation,Can revocations of probation due to technical violations be punished with incarceration?,Yes,"Pennsylvania Consolidated Statutes. 9771. Modification or revocation of order of probation. [42 Pa. Cons. Stat. § 9771(b),(c) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9771/). Archived [here](https://perma.cc/WM8L-99NN).
Pennsylvania Consolidated Statutes. 9771.1. Court-imposed sanctions for offenders violating probation. [42 Pa. Cons. Stat. § 9771.1(g) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-97/section-9771.1/). Archived [here](https://perma.cc/UC39-45S2)."
EMP.q,COLLATERAL_CONSEQUENCES,Employment,Does state law restrict employment application questions regarding prior arrests or convictions?,No,Pennsylvania Consolidated Statutes. 9125. Use of records for employment. [18 Pa. Cons. Stat. § 9125 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9125/). Archived [here](https://perma.cc/BDS4-TVBP).
EMP.p,COLLATERAL_CONSEQUENCES,Employment,"Aside from health care and law enforcement, are there other licensed professions that can exclude persons with arrest or conviction records?",Yes,Pennsylvania Consolidated Statutes. 9124. Use of records by licensing agencies. [18 Pa. Cons. Stat. § 9124 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9124/). Archived [here](https://perma.cc/72FN-Z94G).
EMP.d,COLLATERAL_CONSEQUENCES,Employment,Circumstances under which employers may use criminal records when making employment decisions:,The applicant has been convicted of a felony or misdemeanor related to his or her suitability for employment,Pennsylvania Consolidated Statutes. 9125. Use of records for employment. [18 Pa. Cons. Stat. § 9125(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9125/). Archived [here](https://perma.cc/AMH6-6SZP).
PBA.b,COLLATERAL_CONSEQUENCES,Public Assistance,Does the state participate in the federal TANF and food stamps ban for individuals with felony drug convictions?,No,"House Bill. Act 44 of Dec. 2003. Public Welfare Code ‚Äì Exempting certain persons from federal law relating to public assistance and establishing the health care provider retention account and the Health Care Provider Retention Program. [Act 44 of 2003](http://www.legis.state.pa.us/cfdocs/legis/li/uconsCheck.cfm?yr=2003&sessInd=0&act=44). Archived [here](https://perma.cc/RR5V-FBHQ).
Legal Action Center. Public Assistance Ban Report. [LAC Public Assistance Ban Report](http://lac.org/toolkits/TANF/TANF.htm). Archived [here](https://perma.cc/VK7H-SGMK)."
CCR.a,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which an arrest record may be cleared (qualification requirements may be satisfied by different combinations of the criteria):,A petition or request has been filed and accepted,Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/Y9B7-68S4).
CCR.a,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which an arrest record may be cleared (qualification requirements may be satisfied by different combinations of the criteria):,The court has ordered or approved an expunction request,Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/Y9B7-68S4).
CCR.a,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which an arrest record may be cleared (qualification requirements may be satisfied by different combinations of the criteria):,The state police central repository has not received a disposition for the case,Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/Y9B7-68S4).
CCR.a,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which an arrest record may be cleared (qualification requirements may be satisfied by different combinations of the criteria):,"The state police central repository did not record a disposition for the case within 18 months after the arrest, and the court confirms that no action is pending",Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/Y9B7-68S4).
CCR.a,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which an arrest record may be cleared (qualification requirements may be satisfied by different combinations of the criteria):,The petitioner is at least 70 years old and has not been arrested or faced prosecution for at least 10 years following his or her final release from custody,Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/Y9B7-68S4).
CCR.a,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which an arrest record may be cleared (qualification requirements may be satisfied by different combinations of the criteria):,The individual has been deceased for at least 3 years,Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/Y9B7-68S4).
CCR.a,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which an arrest record may be cleared (qualification requirements may be satisfied by different combinations of the criteria):,The petitioner has not been placed in an Accelerated Rehabilitative Disposition program for sex offenses against an individual under 18,Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/Y9B7-68S4).
CCR.a,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which an arrest record may be cleared (qualification requirements may be satisfied by different combinations of the criteria):,The petitioner is not involved in any pending criminal procedures,Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/Y9B7-68S4).
CCR.c,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which a conviction record may be cleared (qualification requirements may be satisfied by different combinations of the criteria):,A petition or request has been filed and accepted,"Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122(a)(3),(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/W6TC-ZB79)."
CCR.c,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which a conviction record may be cleared (qualification requirements may be satisfied by different combinations of the criteria):,The record in question pertains to a summary conviction,"Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122(a)(3),(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/W6TC-ZB79)."
CCR.c,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which a conviction record may be cleared (qualification requirements may be satisfied by different combinations of the criteria):,The petitioner is at least 70 years old and has not been arrested or faced prosecution for at least 10 years following his or her final release from custody,"Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122(a)(3),(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/W6TC-ZB79)."
CCR.c,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which a conviction record may be cleared (qualification requirements may be satisfied by different combinations of the criteria):,The individual has been deceased for at least 3 years,"Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122(a)(3),(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/W6TC-ZB79)."
CCR.c,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which a conviction record may be cleared (qualification requirements may be satisfied by different combinations of the criteria):,The petitioner has been free of arrest or prosecution for five years following the conviction for which expunction is sought,"Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122(a)(3),(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/W6TC-ZB79)."
CCR.p,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which pardons may be granted:,An application or petition has been submitted and accepted,"Pennsylvania Constitution. Article IV, section 9. Pardoning power; Board of Pardons. [P.A. Const. art. IV,  § 9](http://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=00&div=0&chpt=4&sctn=9&subsctn=0). Archived [here](https://perma.cc/E378-WTNQ)."
CCR.p,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which pardons may be granted:,Approval from the governor,"Pennsylvania Constitution. Article IV, section 9. Pardoning power; Board of Pardons. [P.A. Const. art. IV,  § 9](http://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=00&div=0&chpt=4&sctn=9&subsctn=0). Archived [here](https://perma.cc/E378-WTNQ)."
CCR.p,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which pardons may be granted:,Majority approval from the board of pardons,"Pennsylvania Constitution. Article IV, section 9. Pardoning power; Board of Pardons. [P.A. Const. art. IV,  § 9](http://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=00&div=0&chpt=4&sctn=9&subsctn=0). Archived [here](https://perma.cc/E378-WTNQ)."
CCR.p,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which pardons may be granted:,Unanimous approval from the board of pardons if a death sentence has been imposed and clemency counsel is sought,"Pennsylvania Constitution. Article IV, section 9. Pardoning power; Board of Pardons. [P.A. Const. art. IV,  § 9](http://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=00&div=0&chpt=4&sctn=9&subsctn=0). Archived [here](https://perma.cc/E378-WTNQ)."
CCR.p,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which pardons may be granted:,The offense for which clemency is sought is not a conviction resulting from impeachment,"Pennsylvania Constitution. Article IV, section 9. Pardoning power; Board of Pardons. [P.A. Const. art. IV,  § 9](http://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=00&div=0&chpt=4&sctn=9&subsctn=0). Archived [here](https://perma.cc/E378-WTNQ)."
CCR.p,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Circumstances under which pardons may be granted:,"In the case of a sentence of death or life incarceration, a full hearing in open session must be held following due public notice","Pennsylvania Constitution. Article IV, section 9. Pardoning power; Board of Pardons. [P.A. Const. art. IV,  § 9](http://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=00&div=0&chpt=4&sctn=9&subsctn=0). Archived [here](https://perma.cc/E378-WTNQ)."
CCR.r,COLLATERAL_CONSEQUENCES,Clearing a Criminal Record,Do expunged records appear in public record requests?,Yes,Pennsylvania Consolidated Statutes. 9122. Expungement. [18 Pa. Cons. Stat. § 9122(e) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-91/section-9122/). Archived [here](https://perma.cc/WKB5-U3YS).
OTR.d,COLLATERAL_CONSEQUENCES,Other,Individuals that may be compelled by state law to submit to DNA testing:,Individuals convicted of any felony sex offense,"Pennsylvania Consolidated Statutes. 2316. DNA sample required upon conviction, delinquency adjudication and certain ARD cases. [44 Pa. Cons. Stat. § 2316(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-44/chapter-23/section-2316/). Archived [here](https://perma.cc/5JMF-H7N7)."
OTR.d,COLLATERAL_CONSEQUENCES,Other,Individuals that may be compelled by state law to submit to DNA testing:,Individuals accepted into the Accelerated Rehabilitative Disposition program as a result of a criminal charge for a felony sex offense,"Pennsylvania Consolidated Statutes. 2316. DNA sample required upon conviction, delinquency adjudication and certain ARD cases. [44 Pa. Cons. Stat. § 2316(c) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-44/chapter-23/section-2316/). Archived [here](https://perma.cc/6U8P-QWZC)."
OTR.l,COLLATERAL_CONSEQUENCES,Other,Non-traffic offenses that can result in the suspension or revocation of a driver's license (suspension or revocation may be either mandatory or discretionary):,Any felony involving a motor vehicle (mandatory),Pennsylvania Consolidated Statutes. 1532. Suspension of operating privilege. [75 Pa. Cons. Stat. § 1532(a)(1) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-75/chapter-15/section-1532/). Archived [here](https://perma.cc/SB9J-3XK9).
OTR.l,COLLATERAL_CONSEQUENCES,Other,Non-traffic offenses that can result in the suspension or revocation of a driver's license (suspension or revocation may be either mandatory or discretionary):,Failure to pay child support (mandatory),Pennsylvania Consolidated Statutes. 4355. Denial or suspension of licenses. [23 Pa. Cons. Stat. § 4355(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-23/chapter-43/section-4355/). Archived [here](https://perma.cc/7BGZ-S2FS).
OTR.l,COLLATERAL_CONSEQUENCES,Other,Non-traffic offenses that can result in the suspension or revocation of a driver's license (suspension or revocation may be either mandatory or discretionary):,Purchase of alcohol while under age 21 (mandatory),Pennsylvania Consolidated Statutes. 1532. Suspension of operating privilege. [75 Pa. Cons. Stat. § 1532(c) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-75/chapter-15/section-1532/). Archived [here](https://perma.cc/Z3VH-VFLZ).
OTR.l,COLLATERAL_CONSEQUENCES,Other,Non-traffic offenses that can result in the suspension or revocation of a driver's license (suspension or revocation may be either mandatory or discretionary):,"Offenses related to altering, forging or counterfeiting documents related to motor vehicles or license plates (mandatory)",Pennsylvania Consolidated Statutes. 1532. Suspension of operating privilege. [75 Pa. Cons. Stat. § 1532(a)(3) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-75/chapter-15/section-1532/). Archived [here](https://perma.cc/T9W4-U4RA).
OTR.l,COLLATERAL_CONSEQUENCES,Other,Non-traffic offenses that can result in the suspension or revocation of a driver's license (suspension or revocation may be either mandatory or discretionary):,Possession or sale of controlled substances (mandatory),Pennsylvania Consolidated Statutes. 1532. Suspension of operating privilege. [75 Pa. Cons. Stat. § 1532(c) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-75/chapter-15/section-1532/). Archived [here](https://perma.cc/Z3VH-VFLZ).
OCC.c,COLLATERAL_CONSEQUENCES,Other collateral consequences,Other collateral consequences besides the suspension or revocation of a driver's license that may result from a conviction:,"Ineligibility for TANF, the General Assistance program, food assistance, and medical assistance for individuals convicted of fraudulently applying to these programs",Pennsylvania Administration Code. Rule 141.21. Eligibility Provisions for TANF/GA. Policy. [55 Pa.Code § 141.21(s)](http://www.pacode.com/secure/data/055/chapter141/s141.21.html). Archived [here](https://perma.cc/6JCE-TEWS).
OCC.c,COLLATERAL_CONSEQUENCES,Other collateral consequences,Other collateral consequences besides the suspension or revocation of a driver's license that may result from a conviction:,Loss of voting rights for individuals currently incarcerated for a felony,"Department of State. Voting Rights of Convicted Felons, Convicted Misdemeanants, and Pretrial Detainees Brochure. [Voting Rights of Convicted Felons, Convicted Misdemeanants, and Pretrial Detainees](http://www.cor.pa.gov/How%20Do%20I/Documents/Convicted_felon_brochure%20-%20Voting%202016.pdf). Archived [here](https://perma.cc/WJ79-2EKV)."
OCC.c,COLLATERAL_CONSEQUENCES,Other collateral consequences,Other collateral consequences besides the suspension or revocation of a driver's license that may result from a conviction:,Firearm restrictions,"Pennsylvania Consolidated Statutes. 6105. Persons not to possess, use, manufacture, control, sell or transfer firearms. [18 Pa. Cons. Stat. § 6105(a)(1),(b) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-18/chapter-61/section-6105/). Archived [here](https://perma.cc/GFV4-7AR4)."
OCC.c,COLLATERAL_CONSEQUENCES,Other collateral consequences,Other collateral consequences besides the suspension or revocation of a driver's license that may result from a conviction:,Denial of the opportunity to adopt,Pennsylvania Consolidated Statutes. 6344. Employees having contact with children; adoptive and foster parents. [23 Pa. Cons. Stat. § 6344(p)(2) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-23/chapter-63/section-6344/). Archived [here](https://perma.cc/ENL5-DM75).
OCC.c,COLLATERAL_CONSEQUENCES,Other collateral consequences,Other collateral consequences besides the suspension or revocation of a driver's license that may result from a conviction:,Removal of child custody rights,Pennsylvania Consolidated Statutes. 5329. Consideration of criminal conviction. [23 Pa. Cons. Stat. § 5329(a) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-23/chapter-53/section-5329/). Archived [here](https://perma.cc/3Z9E-U3WE).
OCC.c,COLLATERAL_CONSEQUENCES,Other collateral consequences,Other collateral consequences besides the suspension or revocation of a driver's license that may result from a conviction:,Termination of parental rights,"Pennsylvania Consolidated Statutes. 2511. Grounds for involuntary termination. [23 Pa. Cons. Stat. § 2511(a)(7),(9) (2012)](https://law.justia.com/codes/pennsylvania/2012/title-23/chapter-25/section-2511/). Archived [here](https://perma.cc/3E8L-6AAC)."
OCC.c,COLLATERAL_CONSEQUENCES,Other collateral consequences,Other collateral consequences besides the suspension or revocation of a driver's license that may result from a conviction:,Loss of veterans benefits,Pennsylvania Administrative Code. Rule 7.11. Grounds for discharge. [43 Pa.Code § 7.11(2)](http://www.pacode.com/secure/data/043/chapter7/s7.11.html). Archived [here](https://perma.cc/7FM5-5SNF).
OCC.c,COLLATERAL_CONSEQUENCES,Other collateral consequences,Other collateral consequences besides the suspension or revocation of a driver's license that may result from a conviction:,Deportation,Pennsylvania Consolidated Statutes. 6143. Early parole of inmates subject to Federal removal order. [61 Pa. Cons. Stat. § 6143 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-61/chapter-61/section-6143/). Archived [here](https://perma.cc/9CM7-PWXH).
JDR.a,COLLATERAL_CONSEQUENCES,Judicial Rights,Can failure to pay court fees result in the loss of the right to a court-appointed attorney?,No,Pennsylvania Administrative Code. Rule 706. Fines or Costs. [234 Pa. Code § 706](http://www.pacode.com/secure/data/234/chapter7/s706.html). Archived [here](https://perma.cc/T7Q5-S8AX).
CTF.t,COLLATERAL_CONSEQUENCES,Court Fees,Types of court fees that may be imposed (list may not be exhaustive):,Probation or supervision fees,
CTF.t,COLLATERAL_CONSEQUENCES,Court Fees,Types of court fees that may be imposed (list may not be exhaustive):,Electronic monitoring fees,
CTF.t,COLLATERAL_CONSEQUENCES,Court Fees,Types of court fees that may be imposed (list may not be exhaustive):,Jail usage fees for pre-sentence detainment,
CTF.t,COLLATERAL_CONSEQUENCES,Court Fees,Types of court fees that may be imposed (list may not be exhaustive):,Conviction fees,
CTF.t,COLLATERAL_CONSEQUENCES,Court Fees,Types of court fees that may be imposed (list may not be exhaustive):,"Administrative fees, including copying and filing fees",
